experiment,workers,input_size,epoch,wall_sec,speedup,efficiency,amdahl_parallel_fraction,karp_flatt_serial_fraction,gustafson_speedup
strong,1,12000,1,849.792346,1.098638,1.098638,NaN,NaN,1.000000
strong,1,12000,2,958.743506,0.973789,0.973789,NaN,NaN,1.000000
strong,1,12000,3,992.306921,0.940852,0.940852,NaN,NaN,1.000000
strong,2,12000,1,123.764000,7.543504,3.771752,1.734871,-0.734871,2.734871
strong,2,12000,2,132.253000,7.059305,3.529652,1.716686,-0.716686,2.716686
strong,2,12000,3,120.814000,7.727699,3.863850,1.741191,-0.741191,2.741191
strong,4,12000,1,108.391000,8.613393,2.153348,1.178536,-0.178536,4.535607
strong,4,12000,2,106.341000,8.779438,2.194860,1.181463,-0.181463,4.544390
strong,4,12000,3,109.034000,8.562598,2.140649,1.177617,-0.177617,4.532852
strong,8,12000,1,108.127000,8.634423,1.079303,1.010497,-0.010497,8.073476
strong,8,12000,2,110.018000,8.486014,1.060752,1.008182,-0.008182,8.057272
strong,8,12000,3,113.201000,8.247403,1.030925,1.004285,-0.004285,8.029998
